topic_id,cluster_size,papers_selected_from_cluster,avg_centrality,avg_diversity
0,204,30,0.6445648648283061,0.121790744
1,153,22,0.6831371238808227,0.1526567
2,144,21,0.7248013601120975,0.14224243
3,193,28,0.6724126830002187,0.13858083
4,135,20,0.68997552174109,0.14377578
5,136,20,0.6809451573473566,0.14230937
6,98,14,0.6717163452080318,0.15137845
7,89,13,0.6753063486533218,0.1454988
8,99,14,0.6278855857825039,0.12067817
9,82,12,0.6690592576817769,0.115618125
10,92,13,0.6536433703225591,0.1174758
11,118,17,0.6880741427510472,0.14988086
12,66,9,0.7200521004922462,0.15023316
13,67,10,0.6354608144333114,0.13233031
14,70,10,0.648549794299262,0.12921304
15,71,10,0.6744459896859988,0.15338182
16,107,16,0.660239720455954,0.1275545
17,56,8,0.6834725769502776,0.111307204
18,60,9,0.6454523916045825,0.17892188
19,82,12,0.707152907077859,0.13430302
20,73,10,0.641235037821613,0.10589197
21,54,8,0.654019362948559,0.12632503
22,75,11,0.7267295086383819,0.10811498
23,53,7,0.6591814880101186,0.1783246
24,62,9,0.6438094468847397,0.13462703
25,61,9,0.7224122877003717,0.13423258
26,38,5,0.6504762392295035,0.10652226
27,64,9,0.7682907721027732,0.10614267
28,55,8,0.649965538219972,0.12389082
29,43,6,0.6824418680612431,0.16470599
30,47,7,0.7430375129618543,0.10390396
31,33,4,0.7458940130291563,0.12863752
32,68,10,0.6193881867563024,0.12682907
33,39,5,0.6986686640825027,0.12206152
34,85,12,0.7158928506514606,0.118449345
35,44,6,0.6744756258346818,0.18407935
36,31,4,0.6911337144913212,0.12978187
37,38,5,0.5529134928395874,0.18532744
38,43,6,0.6755868106387383,0.14564542
39,43,6,0.6297103776488193,0.13068007
40,55,8,0.6911457590081475,0.18610041
41,41,6,0.7242645926591826,0.15579619
42,32,4,0.7490217722952366,0.153359
43,38,5,0.6942127652858433,0.14836833
44,51,7,0.7249363929617638,0.112784594
45,41,6,0.6287102154115352,0.16768728
46,30,4,0.6984222114086152,0.14928593
47,27,4,0.7422551468566612,0.096297674
48,29,4,0.6349037865112568,0.13588287
49,64,9,0.6518750726245344,0.13350384
50,32,4,0.7446671715006232,0.13454735
51,27,4,0.6207521381201567,0.1606713
52,29,4,0.7405681137380928,0.17400865
53,16,2,0.7920735478401184,0.075192824
54,25,3,0.6849152493476868,0.10211821
55,27,4,0.6604458281287441,0.18739647
