topic_id,topic_name,cluster_size,size_category,papers_selected,selection_ratio,avg_centrality,avg_diversity
0,0_fuzzy_rules_fuzzy rules_rule,204,xxlarge,30,0.14705882352941177,0.56226146,0.3878417
1,1_diagnosis_images_medical_segmentation,153,xxlarge,22,0.1437908496732026,0.57544833,0.39655915
2,2_visual_reasoning_vqa_question,144,xlarge,21,0.14583333333333334,0.6231059,0.36861214
3,3_xai_explanations_counterfactual_ai,193,xxlarge,28,0.14507772020725387,0.55903614,0.38286588
4,4_reinforcement_reinforcement learning_policies_policy,135,xlarge,20,0.14814814814814814,0.59636015,0.39641035
5,5_language_computational_computational linguistics_linguistics,136,xlarge,20,0.14705882352941177,0.60662115,0.39171854
6,6_medical_health_clinical_risk,98,xlarge,14,0.14285714285714285,0.600838,0.36904722
7,7_adversarial_attacks_privacy_attack,89,xlarge,13,0.14606741573033707,0.5875652,0.3451535
8,8_clustering_tensor_matrix_factorization,99,xlarge,14,0.1414141414141414,0.57965285,0.34932724
9,9_students_tracing_knowledge tracing_cognitive,82,xlarge,12,0.14634146341463414,0.5918265,0.3503581
10,10_latent_generative_latent space_disentanglement,92,xlarge,13,0.14130434782608695,0.5604125,0.3917286
11,11_cnn_image_prototypes_cnns,118,xlarge,17,0.1440677966101695,0.5956819,0.3658909
12,12_driving_trajectory_autonomous_pedestrian,66,large,9,0.13636363636363635,0.6596743,0.35654905
13,13_eeg_brain_depression_sleep,67,large,10,0.14925373134328357,0.57834524,0.4193782
14,14_media_news_social_detection,70,large,10,0.14285714285714285,0.5699885,0.39249426
15,15_fault_fault diagnosis_diagnosis_wavelet,71,large,10,0.14084507042253522,0.55861187,0.39131528
16,16_trees_decision_tree_decision trees,107,xlarge,16,0.14953271028037382,0.5611372,0.41666734
17,17_drug_protein_gene_molecular,56,large,8,0.14285714285714285,0.61954594,0.38895416
18,18_image_images_reconstruction_hyperspectral,60,large,9,0.15,0.5214965,0.4297918
19,19_attribution_explanation_dnns_explanations,82,xlarge,12,0.14634146341463414,0.62674206,0.3896483
20,20_pose_3d_object_pose estimation,73,large,10,0.136986301369863,0.53364784,0.38862842
21,21_robot_demonstrations_navigation_manipulation,54,large,8,0.14814814814814814,0.59790194,0.40967408
22,22_reasoning_multihop_temporal_knowledge graph,75,large,11,0.14666666666666667,0.67094636,0.31705505
23,23_physical_dynamics_differential_equations,53,large,7,0.1320754716981132,0.5952157,0.40771607
24,24_series_time series_time_forecasting,62,large,9,0.14516129032258066,0.56878096,0.43343052
25,25_reasoning_language_natural_natural language,61,large,9,0.14754098360655737,0.63702065,0.3966991
26,26_credit_financial_fraud_risk,38,medium,5,0.13157894736842105,0.6017019,0.37857777
27,27_gnns_gnn_graph neural_graph,64,large,9,0.140625,0.64528304,0.33648366
28,28_monotonic_constraints_convex_monotonicity,55,large,8,0.14545454545454545,0.52757347,0.46947545
29,29_malware_detection_intrusion_malicious,43,large,6,0.13953488372093023,0.55746925,0.41393927
30,30_multihop_question_answering_qa,47,large,7,0.14893617021276595,0.6519435,0.37782383
31,31_dialogue_dialog_responses_conversational,33,medium,4,0.12121212121212122,0.687684,0.37238762
32,32_causal_bayesian_conditional_bayesian networks,68,large,10,0.14705882352941177,0.5696648,0.41408047
33,33_video_videos_action_object,39,medium,5,0.1282051282051282,0.62709916,0.3637292
34,34_graph_node_structural_graphs,85,xlarge,12,0.1411764705882353,0.6683841,0.34863758
35,35_rnns_automata_rnn_recurrent,44,large,6,0.13636363636363635,0.58248216,0.3974432
36,36_stock_price_financial_investment,31,medium,4,0.12903225806451613,0.6647335,0.3965685
37,37_consensus_security_distributed_technology,38,medium,5,0.13157894736842105,0.44106227,0.53000224
38,38_zeroshot_zeroshot learning_unseen_fewshot,43,large,6,0.13953488372093023,0.6185312,0.41794327
39,39_ai_clinical_healthcare_medical,43,large,6,0.13953488372093023,0.5660471,0.44095814
40,40_logic_ilp_relational_firstorder,55,large,8,0.14545454545454545,0.4929144,0.46807495
41,41_saliency_object_maps_object detection,41,large,6,0.14634146341463414,0.6594181,0.39742756
42,42_topic_topics_topic models_topic modeling,32,medium,4,0.125,0.6599401,0.349489
43,43_rule_rules_decision_boolean,38,medium,5,0.13157894736842105,0.5684704,0.35519537
44,44_entities_relation_knowledge graph_graph,51,large,7,0.13725490196078433,0.6894385,0.32317653
45,45_concrete_materials_life_optimization,41,large,6,0.14634146341463414,0.52257633,0.4380225
46,46_traffic_urban_forecasting_transportation,30,medium,4,0.13333333333333333,0.6051399,0.42322323
47,47_neurosymbolic_symbolic_ai_neurosymbolic ai,27,medium,4,0.14814814814814814,0.6897864,0.30156618
48,48_spiking_spiking neural_neurons_biological,29,medium,4,0.13793103448275862,0.5657964,0.40752673
49,49_job_online_engagement_users,64,large,9,0.140625,0.6087506,0.38643253
50,50_rules_rule_logical_knowledge graph,32,medium,4,0.125,0.577583,0.48039892
51,51_energy_wind_ml_forecasting,27,medium,4,0.14814814814814814,0.54625326,0.54034257
52,52_sentiment_sentiment analysis_aspect_opinion,29,medium,4,0.13793103448275862,0.69799435,0.32219097
53,53_ecg_heart_clinical_deep learning,16,small,2,0.125,0.77490926,0.33361796
54,54_fairness_fair_trees_bias,25,medium,3,0.12,0.54486895,0.4584767
55,55_optimization_symbolic_optimizers_sr,27,medium,4,0.14814814814814814,0.50089,0.52035725
